date,state_name,district_name,market_name,variety,p_min,p_max,p_modal
2022-01-16,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,1976.0,1976.0,1976.0
2022-01-17,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,1925.0,1925.0,1925.0
2022-01-19,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,1940.0,1951.0,1940.0
2022-01-30,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,1960.0,1960.0,1960.0
2022-01-31,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,1950.0,1950.0,1950.0
2022-03-07,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,2000.0,2040.0,2040.0
2022-03-08,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,2085.0,2085.0,2085.0
2022-03-27,Haryana,Gurgaon,Farukh Nagar,Other,2050.0,2050.0,2050.0
2022-03-29,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,1955.0,1955.0,1955.0
2022-03-30,Haryana,Gurgaon,Sohna,Other,2000.0,2100.0,2050.0
2022-03-30,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,2010.0,2015.0,2010.0
2022-04-01,Haryana,Faridabad,Ballabhgarh,Other,2015.0,2015.0,2015.0
2022-04-01,Haryana,Gurgaon,Farukh Nagar,Other,2015.0,2025.0,2015.0
2022-04-01,Punjab,Ludhiana,Mullanpur,Other,2050.0,2050.0,2050.0
2022-04-02,Punjab,Patiala,Rajpura,Local,2015.0,2015.0,2015.0
2022-04-02,Haryana,Gurgaon,Farukh Nagar,Other,2025.0,2025.0,2025.0
2022-04-02,Haryana,Ambala,Naraingarh,Other,2015.0,2015.0,2015.0
2022-04-03,Haryana,Faridabad,Ballabhgarh,Other,2015.0,2020.0,2015.0
2022-04-03,Haryana,Gurgaon,Farukh Nagar,Other,2025.0,2025.0,2025.0
2022-04-04,Haryana,Yamunanagar,Bilaspur,Other,2015.0,2015.0,2015.0
2022-04-04,Haryana,Kaithal,Kaithal,Other,2016.0,2016.0,2016.0
2022-04-04,Haryana,Ambala,Naraingarh,Other,2015.0,2015.0,2015.0
2022-04-04,Haryana,Bhiwani,Tosham,Other,2050.0,2050.0,2050.0
2022-04-04,Haryana,Ambala,Mullana,Other,2015.0,2015.0,2015.0
2022-04-04,Haryana,Ambala,Mullana(saha),Other,2015.0,2015.0,2015.0
2022-04-04,Haryana,Ambala,Barara,Other,2015.0,2015.0,2015.0
2022-04-04,Haryana,Gurgaon,Farukh Nagar,Other,2015.0,2025.0,2015.0
2022-04-04,Haryana,Faridabad,Ballabhgarh,Other,2015.0,2020.0,2015.0
2022-04-04,Haryana,Kurukshetra,Shahabad,Local,2015.0,2015.0,2015.0
2022-04-04,Punjab,Patiala,Rajpura,Local,2015.0,2015.0,2015.0
2022-04-05,Haryana,Kurukshetra,Shahabad,Local,2015.0,2015.0,2015.0
2022-04-05,Punjab,Patiala,Rajpura,Local,2015.0,2020.0,2015.0
2022-04-05,Punjab,Patiala,Dakala,Other,2015.0,2015.0,2015.0
2022-04-05,Punjab,Faridkot,Sadiq,Other,2015.0,2015.0,2015.0
2022-04-05,Haryana,Rewari,Rewari,Other,2028.0,2051.0,2040.0
2022-04-05,Haryana,Ambala,Barara,Other,2015.0,2015.0,2015.0
2022-04-05,Haryana,Ambala,Shahzadpur,Other,2015.0,2015.0,2015.0
2022-04-05,Haryana,Ambala,Naneola,Other,2015.0,2015.0,2015.0
2022-04-05,Haryana,Faridabad,Ballabhgarh,Other,2015.0,2015.0,2015.0
2022-04-05,Haryana,Kaithal,Cheeka,Other,2015.0,2015.0,2015.0
2022-04-05,Haryana,Yamunanagar,Bilaspur,Other,2015.0,2015.0,2015.0
2022-04-05,Haryana,Gurgaon,Sohna,Other,2015.0,2015.0,2015.0
2022-04-05,Haryana,Bhiwani,Tosham,Other,2020.0,2020.0,2020.0
2022-04-05,Haryana,Karnal,Nilokheri,Other,2015.0,2015.0,2015.0
2022-04-05,Haryana,Gurgaon,Farukh Nagar,Other,2015.0,2025.0,2015.0
2022-04-05,Punjab,Patiala,Patran,Other,2015.0,2015.0,2015.0
2022-04-05,Punjab,Bathinda,Bhucho,Other,2015.0,2015.0,2015.0
2022-04-05,Haryana,Ambala,Naraingarh,Other,2015.0,2015.0,2015.0
2022-04-06,Punjab,Bathinda,Bhucho,Other,2015.0,2015.0,2015.0
2022-04-06,Haryana,Faridabad,Ballabhgarh,Other,2015.0,2015.0,2015.0
2022-04-06,Haryana,Karnal,Nilokheri,Other,2015.0,2015.0,2015.0
2022-04-06,Haryana,Gurgaon,Farukh Nagar,Other,2015.0,2025.0,2015.0
2022-04-06,Punjab,Patiala,Dakala,Other,2015.0,2015.0,2015.0
2022-04-06,Haryana,Yamunanagar,Bilaspur,Other,2015.0,2015.0,2015.0
2022-04-06,Haryana,Jind,Uchana,Other,2015.0,2015.0,2015.0
2022-04-06,Haryana,Sirsa,Ding,Other,2015.0,2015.0,2015.0
2022-04-06,Haryana,Ambala,Naraingarh,Other,2015.0,2015.0,2015.0
2022-04-06,Haryana,Ambala,Barara,Other,2015.0,2015.0,2015.0
2022-04-06,Haryana,Hisar,Uklana,Other,2015.0,2015.0,2015.0
2022-04-06,Haryana,Rewari,Rewari,Other,2040.0,2086.0,2060.0
2022-04-06,Haryana,Ambala,Naneola,Other,2015.0,2015.0,2015.0
2022-04-06,Haryana,Gurgaon,Sohna,Other,2015.0,2020.0,2015.0
2022-04-06,Punjab,Faridkot,Sadiq,Other,2015.0,2015.0,2015.0
2022-04-06,Punjab,Firozpur,Abohar,Other,2021.0,2031.0,2021.0
2022-04-06,Punjab,Patiala,Patran,Other,2015.0,2015.0,2015.0
2022-04-06,Punjab,Amritsar,Rayya,Other,2015.0,2015.0,2015.0
2022-04-06,Punjab,Mansa,Bareta,Other,2015.0,2015.0,2015.0
2022-04-06,Punjab,Patiala,Rajpura,Local,2015.0,2020.0,2015.0
2022-04-06,Haryana,Ambala,Shahzadpur,Other,2015.0,2015.0,2015.0
2022-04-06,Haryana,Kurukshetra,Shahabad,Local,2015.0,2016.0,2015.0
2022-04-07,Haryana,Gurgaon,Farukh Nagar,Other,2015.0,2025.0,2015.0
