date,state_name,district_name,market_name,variety,p_min,p_max,p_modal
2022-03-27,Haryana,Gurgaon,Farukh Nagar,Other,2050,2050.0,2050.0
2022-03-30,Haryana,Gurgaon,Sohna,Other,2000,2100.0,2050.0
2022-04-01,Haryana,Gurgaon,Farukh Nagar,Other,2015,2025.0,2015.0
2022-04-01,Haryana,Faridabad,Ballabhgarh,Other,2015,2015.0,2015.0
2022-04-02,Haryana,Gurgaon,Farukh Nagar,Other,2025,2025.0,2025.0
2022-04-02,Haryana,Ambala,Naraingarh,Other,2015,2015.0,2015.0
2022-04-03,Haryana,Faridabad,Ballabhgarh,Other,2015,2020.0,2015.0
2022-04-03,Haryana,Gurgaon,Farukh Nagar,Other,2025,2025.0,2025.0
2022-04-04,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-04,Haryana,Gurgaon,Farukh Nagar,Other,2015,2025.0,2015.0
2022-04-04,Haryana,Kaithal,Kaithal,Other,2016,2016.0,2016.0
2022-04-04,Haryana,Ambala,Naraingarh,Other,2015,2015.0,2015.0
2022-04-04,Haryana,Bhiwani,Tosham,Other,2050,2050.0,2050.0
2022-04-04,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-04,Haryana,Ambala,Mullana(saha),Other,2015,2015.0,2015.0
2022-04-04,Haryana,Faridabad,Ballabhgarh,Other,2015,2020.0,2015.0
2022-04-04,Haryana,Kurukshetra,Shahabad,Local,2015,2015.0,2015.0
2022-04-04,Haryana,Ambala,Barara,Other,2015,2015.0,2015.0
2022-04-05,Haryana,Rewari,Rewari,Other,2028,2051.0,2040.0
2022-04-05,Haryana,Ambala,Barara,Other,2015,2015.0,2015.0
2022-04-05,Haryana,Ambala,Naraingarh,Other,2015,2015.0,2015.0
2022-04-05,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-05,Haryana,Ambala,Naneola,Other,2015,2015.0,2015.0
2022-04-05,Haryana,Faridabad,Ballabhgarh,Other,2015,2015.0,2015.0
2022-04-05,Haryana,Kaithal,Cheeka,Other,2015,2015.0,2015.0
2022-04-05,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-05,Haryana,Gurgaon,Sohna,Other,2015,2015.0,2015.0
2022-04-05,Haryana,Bhiwani,Tosham,Other,2020,2020.0,2020.0
2022-04-05,Haryana,Karnal,Nilokheri,Other,2015,2015.0,2015.0
2022-04-05,Haryana,Gurgaon,Farukh Nagar,Other,2015,2025.0,2015.0
2022-04-05,Haryana,Kurukshetra,Shahabad,Local,2015,2015.0,2015.0
2022-04-06,Haryana,Karnal,Nilokheri,Other,2015,2015.0,2015.0
2022-04-06,Haryana,Faridabad,Ballabhgarh,Other,2015,2015.0,2015.0
2022-04-06,Haryana,Rewari,Rewari,Other,2040,2086.0,2060.0
2022-04-06,Haryana,Kurukshetra,Shahabad,Local,2015,2016.0,2015.0
2022-04-06,Haryana,Gurgaon,Farukh Nagar,Other,2015,2025.0,2015.0
2022-04-06,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-06,Haryana,Jind,Uchana,Other,2015,2015.0,2015.0
2022-04-06,Haryana,Sirsa,Ding,Other,2015,2015.0,2015.0
2022-04-06,Haryana,Ambala,Naraingarh,Other,2015,2015.0,2015.0
2022-04-06,Haryana,Ambala,Barara,Other,2015,2015.0,2015.0
2022-04-06,Haryana,Hisar,Uklana,Other,2015,2015.0,2015.0
2022-04-06,Haryana,Ambala,Naneola,Other,2015,2015.0,2015.0
2022-04-06,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-06,Haryana,Gurgaon,Sohna,Other,2015,2020.0,2015.0
2022-04-07,Haryana,Mahendragarh,Narnaul,Other,2025,2025.0,2025.0
2022-04-07,Haryana,Hisar,Uklana,Other,2015,2015.0,2015.0
2022-04-07,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-07,Haryana,Gurgaon,Sohna,Other,2015,2020.0,2015.0
2022-04-07,Haryana,Kaithal,Dhand,Other,2015,2015.0,2015.0
2022-04-07,Haryana,Ambala,Barara,Other,2015,2015.0,2015.0
2022-04-07,Haryana,Bhiwani,Tosham,Other,2015,2015.0,2015.0
2022-04-07,Haryana,Karnal,Nilokheri,Other,2015,2020.0,2015.0
2022-04-07,Haryana,Gurgaon,Farukh Nagar,Other,2015,2025.0,2015.0
2022-04-07,Haryana,Ambala,Naraingarh,Other,2015,2015.0,2015.0
2022-04-07,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-07,Haryana,Ambala,Ambala City(Subji Mandi),147 Average,1900,2020.0,2015.0
2022-04-07,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-07,Haryana,Jind,Narwana,Other,2015,2015.0,2015.0
2022-04-07,Haryana,Jind,Uchana,Other,2015,2016.0,2015.0
2022-04-07,Haryana,Kurukshetra,Pipli,WL711,2015,2020.0,2015.0
2022-04-07,Haryana,Panipat,Panipat,Other,2015,2015.0,2015.0
2022-04-07,Haryana,Jind,Safidon,Other,2021,2025.0,2025.0
2022-04-07,Haryana,Rewari,Rewari,Other,2016,2086.0,2050.0
2022-04-07,Haryana,Kurukshetra,Shahabad,Local,2015,2016.0,2015.0
2022-04-07,Haryana,Jind,Pillukhera,Other,2015,2015.0,2015.0
2022-04-07,Haryana,Ambala,Mullana(saha),Other,2015,2015.0,2015.0
2022-04-07,Haryana,Faridabad,Ballabhgarh,Other,2015,2015.0,2015.0
2022-04-08,Haryana,Sirsa,Ding,Other,2015,2015.0,2015.0
2022-04-08,Haryana,Jind,Safidon,Other,2015,2025.0,2025.0
2022-04-08,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-08,Haryana,Ambala,Mullana(saha),Other,2015,2015.0,2015.0
2022-04-08,Haryana,Hisar,Uklana,Other,2015,2015.0,2015.0
2022-04-08,Haryana,Jind,Pillukhera,Other,2015,2015.0,2015.0
2022-04-08,Haryana,Sonipat,"New Grain Market , Sonipat",Other,2015,2015.0,2015.0
2022-04-08,Haryana,Ambala,Naraingarh,Other,2015,2015.0,2015.0
2022-04-08,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-08,Haryana,Ambala,Barara,Other,2015,2015.0,2015.0
2022-04-08,Haryana,Hisar,Adampur(Agroha),Other,2015,2015.0,2015.0
2022-04-08,Haryana,Jind,Narwana,Other,2015,2015.0,2015.0
2022-04-08,Haryana,Panipat,Samalkha,Other,2015,2016.0,2016.0
2022-04-08,Haryana,Rewari,Rewari,Other,2025,2082.0,2045.0
2022-04-08,Haryana,Kaithal,Cheeka,Other,2015,2017.0,2016.0
2022-04-08,Haryana,Faridabad,Ballabhgarh,Other,2015,2015.0,2015.0
2022-04-08,Haryana,Kurukshetra,Shahabad,Local,2015,2017.0,2016.0
2022-04-08,Haryana,Jind,"New Grain Market , Jind",Other,2015,2015.0,2015.0
2022-04-08,Haryana,Jind,Uchana,Other,2015,2016.0,2015.0
2022-04-08,Haryana,Kaithal,Siwan,147 Average,2015,2015.0,2015.0
2022-04-08,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-08,Haryana,Gurgaon,Farukh Nagar,Other,2015,2031.0,2015.0
2022-04-08,Haryana,Bhiwani,Siwani,Other,2050,2050.0,2050.0
2022-04-08,Haryana,Kaithal,Dhand,Other,2015,2015.0,2015.0
2022-04-08,Haryana,Jind,Jullana,Other,2015,2015.0,2015.0
2022-04-09,Haryana,Gurgaon,Farukh Nagar,Other,2020,2020.0,2020.0
2022-04-09,Haryana,Panipat,Panipat,Other,2015,2015.0,2015.0
2022-04-09,Haryana,Jind,Narwana,Other,2015,2015.0,2015.0
2022-04-09,Haryana,Kurukshetra,Shahabad,Local,2015,2017.0,2016.0
2022-04-09,Haryana,Jind,Uchana,Other,2015,2016.0,2015.0
2022-04-09,Haryana,Jind,"New Grain Market , Jind",Other,2015,2020.0,2015.0
2022-04-09,Haryana,Rewari,Rewari,Other,2016,2080.0,2045.0
2022-04-09,Haryana,Panipat,Samalkha,Other,2015,2016.0,2015.0
2022-04-09,Haryana,Bhiwani,Siwani,Other,2015,2015.0,2015.0
2022-04-09,Haryana,Jind,Pillukhera,Other,2015,2015.0,2015.0
2022-04-09,Haryana,Kaithal,Cheeka,Other,2015,2020.0,2020.0
2022-04-09,Haryana,Jind,Safidon,Other,2015,2026.0,2025.0
2022-04-09,Haryana,Kaithal,Siwan,147 Average,2015,2015.0,2015.0
2022-04-09,Haryana,Hisar,Uklana,Other,2015,2015.0,2015.0
2022-04-09,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-09,Haryana,Ambala,Naneola,Other,2015,2015.0,2015.0
2022-04-09,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-09,Haryana,Ambala,Naraingarh,Other,2015,2015.0,2015.0
2022-04-09,Haryana,Sirsa,Ding,Other,2015,2015.0,2015.0
2022-04-09,Haryana,Ambala,Barara,Other,2015,2020.0,2015.0
2022-04-09,Haryana,Sonipat,"New Grain Market , Sonipat",Other,2015,2015.0,2015.0
2022-04-09,Haryana,Gurgaon,Sohna,Other,2015,2020.0,2015.0
2022-04-09,Haryana,Bhiwani,Tosham,Other,2015,2015.0,2015.0
2022-04-09,Haryana,Ambala,Mullana(saha),Other,2015,2015.0,2015.0
2022-04-09,Haryana,Karnal,Nilokheri,Other,2015,2025.0,2015.0
2022-04-10,Haryana,Ambala,Naraingarh,Other,2015,2015.0,2015.0
2022-04-10,Haryana,Gurgaon,Farukh Nagar,Other,2015,2025.0,2015.0
2022-04-10,Haryana,Kaithal,Siwan,147 Average,2015,2015.0,2015.0
2022-04-10,Haryana,Karnal,Nilokheri,Other,2015,2025.0,2015.0
2022-04-10,Haryana,Kaithal,Cheeka,Other,2015,2020.0,2017.0
2022-04-10,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-10,Haryana,Sonipat,"New Grain Market , Sonipat",Other,2015,2015.0,2015.0
2022-04-10,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-10,Haryana,Faridabad,Ballabhgarh,Other,2015,2015.0,2015.0
2022-04-10,Haryana,Kurukshetra,Shahabad,Local,2015,2017.0,2016.0
2022-04-10,Haryana,Kurukshetra,Pipli,WL711,2015,2021.0,2015.0
2022-04-10,Haryana,Jind,"New Grain Market , Jind",Other,2015,2015.0,2015.0
2022-04-10,Haryana,Jind,Safidon,Other,2015,2021.0,2015.0
2022-04-10,Haryana,Panipat,Samalkha,Other,2015,2016.0,2015.0
2022-04-10,Haryana,Panipat,Panipat,Other,2015,2015.0,2015.0
2022-04-10,Haryana,Jind,Uchana,Other,2016,2016.0,2016.0
2022-04-10,Haryana,Jind,Narwana,Other,2015,2015.0,2015.0
2022-04-10,Haryana,Jind,Jullana,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Jind,Safidon,Other,2015,2025.0,2016.0
2022-04-11,Haryana,Jind,Uchana,Other,2015,2016.0,2015.0
2022-04-11,Haryana,Jind,"New Grain Market , Jind",Other,2015,2015.0,2015.0
2022-04-11,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Hisar,Adampur(Agroha),Other,2015,2015.0,2015.0
2022-04-11,Haryana,Ambala,Barara,Other,2015,2020.0,2015.0
2022-04-11,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Ambala,Naneola,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Ambala,Naraingarh,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Hisar,Uklana,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Jind,Narwana,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Ambala,Mullana(saha),Other,2015,2015.0,2015.0
2022-04-11,Haryana,Jind,Pillukhera,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Mahendragarh,Khanina,Other,2015,2100.0,2015.0
2022-04-11,Haryana,Panipat,Panipat,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Karnal,Nilokheri,Other,2015,2025.0,2015.0
2022-04-11,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Kaithal,Siwan,147 Average,2015,2015.0,2015.0
2022-04-11,Haryana,Bhiwani,Tosham,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Gurgaon,Farukh Nagar,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Gurgaon,Sohna,Other,2015,2025.0,2020.0
2022-04-11,Haryana,Faridabad,Ballabhgarh,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Kaithal,Cheeka,Other,2015,2020.0,2016.0
2022-04-11,Haryana,Bhiwani,Siwani,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Kurukshetra,Pipli,WL711,2015,2025.0,2015.0
2022-04-11,Haryana,Kurukshetra,Ladwa,Other,2015,2015.0,2015.0
2022-04-11,Haryana,Kurukshetra,Shahabad,Local,2016,2018.0,2017.0
2022-04-11,Haryana,Rewari,Rewari,Other,2041,2080.0,2060.0
2022-04-11,Haryana,Kaithal,Dhand,Other,2015,2015.0,2015.0
2022-04-12,Haryana,Jind,"New Grain Market , Jind",Other,2015,2015.0,2015.0
