date,state_name,district_name,market_name,variety,p_min,p_max,p_modal
2022-01-16,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,1976.0,1976.0,1976
2022-01-17,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,1925.0,1925.0,1925
2022-01-19,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,1940.0,1951.0,1940
2022-01-30,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,1960.0,1960.0,1960
2022-01-31,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,1950.0,1950.0,1950
2022-03-07,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,2000.0,2040.0,2040
2022-03-08,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,2085.0,2085.0,2085
2022-03-29,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,1955.0,1955.0,1955
2022-03-30,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,2010.0,2015.0,2010
2022-04-01,Punjab,Ludhiana,Mullanpur,Other,2050.0,2050.0,2050
2022-04-02,Punjab,Patiala,Rajpura,Local,2015.0,2015.0,2015
2022-04-04,Punjab,Patiala,Rajpura,Local,2015.0,2015.0,2015
2022-04-05,Punjab,Faridkot,Sadiq,Other,2015.0,2015.0,2015
2022-04-05,Punjab,Patiala,Dakala,Other,2015.0,2015.0,2015
2022-04-05,Punjab,Patiala,Rajpura,Local,2015.0,2020.0,2015
2022-04-05,Punjab,Patiala,Patran,Other,2015.0,2015.0,2015
2022-04-05,Punjab,Bathinda,Bhucho,Other,2015.0,2015.0,2015
2022-04-06,Punjab,Patiala,Rajpura,Local,2015.0,2020.0,2015
2022-04-06,Punjab,Bathinda,Bhucho,Other,2015.0,2015.0,2015
2022-04-06,Punjab,Patiala,Dakala,Other,2015.0,2015.0,2015
2022-04-06,Punjab,Mansa,Bareta,Other,2015.0,2015.0,2015
2022-04-06,Punjab,Amritsar,Rayya,Other,2015.0,2015.0,2015
2022-04-06,Punjab,Patiala,Patran,Other,2015.0,2015.0,2015
2022-04-06,Punjab,Firozpur,Abohar,Other,2021.0,2031.0,2021
2022-04-06,Punjab,Faridkot,Sadiq,Other,2015.0,2015.0,2015
2022-04-07,Punjab,Sangrur,Bhawanigarh,Other,2015.0,2015.0,2015
2022-04-07,Punjab,Firozpur,Firozepur City,147 Average,2015.0,2015.0,2015
2022-04-07,Punjab,Firozpur,Abohar,Other,2015.0,2025.0,2021
2022-04-07,Punjab,Mansa,Budalada,147 Average,2015.0,2015.0,2015
2022-04-07,Punjab,Fatehgarh Sahib,Sirhind,Other,2015.0,2020.0,2020
2022-04-07,Punjab,Sangrur,Sherpur,Other,2015.0,2015.0,2015
2022-04-07,Punjab,Patiala,Dakala,Other,2015.0,2015.0,2015
2022-04-07,Punjab,Mansa,Bareta,Other,2015.0,2015.0,2015
2022-04-07,Punjab,Mansa,Bhikhi,Other,2015.0,2015.0,2015
2022-04-07,Punjab,Patiala,Patran,Other,2015.0,2015.0,2015
2022-04-07,Punjab,Patiala,Patran(Ghagga Mandi),Other,2015.0,2015.0,2015
2022-04-07,Punjab,Patiala,Rajpura,Local,2015.0,2020.0,2015
2022-04-07,Punjab,Faridkot,Sadiq,Other,2015.0,2015.0,2015
2022-04-07,Punjab,Sangrur,Sulargharat,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Patiala,Samana,Hybrid,2015.0,2015.0,2015
2022-04-08,Punjab,Tarn Taran,Tarantaran,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Fatehgarh Sahib,Amloh(Gobind Garh Mandi),147 Best,2015.0,2015.0,2015
2022-04-08,Punjab,Mansa,Mansa,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Sangrur,Bhawanigarh,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Mansa,Budalada,147 Average,2015.0,2015.0,2015
2022-04-08,Punjab,Mansa,Bareta,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Sangrur,Sulargharat,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Patiala,Bhadson,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Mansa,Bhikhi,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Patiala,Patran,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Fatehgarh Sahib,Sirhind,Other,2015.0,2020.0,2015
2022-04-08,Punjab,Bathinda,Bhucho,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Patiala,Rajpura,Local,2015.0,2020.0,2015
2022-04-08,Punjab,Barnala,Mehal Kalan,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Jalandhar,Nakodar,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Firozpur,Firozepur City,147 Average,2015.0,2015.0,2015
2022-04-08,Punjab,Firozpur,Abohar,Other,2015.0,2021.0,2021
2022-04-08,Punjab,Jalandhar,Jalandhar City,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Patiala,Patran(Ghagga Mandi),Other,2015.0,2015.0,2015
2022-04-08,Punjab,Faridkot,Sadiq,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Muktsar,Malout,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Bathinda,Maur,Other,2015.0,2015.0,2015
2022-04-08,Punjab,Firozpur,Zira,Other,2015.0,2020.0,2015
2022-04-09,Punjab,Faridkot,Jaitu,Local,2015.0,2015.0,2015
2022-04-09,Punjab,Firozpur,Abohar,Other,2015.0,2021.0,2015
2022-04-09,Punjab,Patiala,Patran(Ghagga Mandi),Other,2015.0,2015.0,2015
2022-04-09,Punjab,Faridkot,Jaitu(Bajakhana),Other,2015.0,2015.0,2015
2022-04-09,Punjab,Patiala,Dakala,Other,2015.0,2015.0,2015
2022-04-09,Punjab,Bathinda,Maur,Other,2015.0,2015.0,2015
2022-04-09,Punjab,Faridkot,Sadiq,Other,2015.0,2015.0,2015
2022-04-09,Punjab,Patiala,Patran,Other,2015.0,2015.0,2015
2022-04-09,Punjab,Muktsar,Malout,Other,2015.0,2015.0,2015
2022-04-09,Punjab,Bathinda,Sangat,Other,2015.0,2015.0,2015
2022-04-09,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),Other,2015.0,2015.0,2015
2022-04-09,Punjab,Bathinda,Bhucho,Other,2015.0,2015.0,2015
2022-04-09,Punjab,Patiala,Samana,Hybrid,2015.0,2015.0,2015
2022-04-09,Punjab,Firozpur,Guru Har Sahai,Medium,2015.0,2015.0,2015
2022-04-09,Punjab,Jalandhar,Jalandhar City,Other,2015.0,2015.0,2015
2022-04-09,Punjab,Barnala,Mehal Kalan,Other,2015.0,2015.0,2015
2022-04-09,Punjab,Firozpur,Zira,Other,2015.0,2020.0,2015
2022-04-09,Punjab,Mansa,Bhikhi,Other,2015.0,2015.0,2015
2022-04-09,Punjab,Sangrur,Sherpur,Other,2015.0,2015.0,2015
2022-04-09,Punjab,Patiala,Rajpura,Local,2015.0,2020.0,2015
